# YSFHosts.txt
#
# Generated: 2025-08-28 21:01:20 UTC
# by DVRef.com | S. Miller KC1AWV
#
# Format:
# # Designator, Sponsor, Country
# designator;full_name;description;host;port;user_count;

14260;US-Miranda-Link;Miranda Link;73.8.151.89;42000;000;

# Cached IP from 2025-04-24 12:33 UTC
00188;US-XLX188;Bit by Bit Ham;75.8.230.12;42000;000;

# Cached IP from 2025-08-28 17:16 UTC
14249;HR-HR-DALMACIJA;CHAT;109.60.15.129;42009;000;

# Cached IP from 2025-08-25 19:46 UTC
00187;JP-XLX297;Japan XLX297-F;153.175.200.17;42000;000;

# Cached IP from 2025-05-14 04:13 UTC
00186;JP-XLX296;Japan XLX296-F;153.127.50.48;42000;000;

# Cached IP from 2025-07-27 12:46 UTC
14248;HR-9A-C4FM;CRO-OFFICIAL;185.58.194.23;42997;000;

# Cached IP from 2025-04-24 12:33 UTC
00169;DE-XLX169;XLX169;217.72.202.215;42001;000;

14054;US-W5JDW-LINK;www.w5jdw.com;205.147.75.67;42000;000;

# Cached IP from 2025-04-26 15:33 UTC
00159;US-XLX159;Wheels N Keels;69.84.242.182;42000;000;

13946;GT-XLX651;XLX Reflector;104.143.94.48;42220;000;

# Cached IP from 2025-04-26 15:33 UTC
00156;US-XLX156;Wheels N Keels;74.207.252.205;42000;000;

# Cached IP from 2025-07-27 20:16 UTC
13916;US-3916Nets;3916 Nets;64.181.210.244;42002;000;

# Cached IP from 2025-04-24 12:33 UTC
00155;US-TheDive-155;All welcome;24.131.191.171;42000;000;

# Cached IP from 2025-04-24 12:33 UTC
00139;US-XLX139-Maine;XLX139 Maine;35.182.55.222;42000;000;

13908;XX-World-Wide-Ch;World Wide Cha;198.100.154.155;42000;000;

00135;GB-XLX135;XLX135;45.92.44.246;42000;000;

# Cached IP from 2025-04-24 12:33 UTC
13897;IT-XLX965;XLX FreeDMR IT;80.211.190.216;42000;000;

# Cached IP from 2025-08-26 19:46 UTC
13828;ME-YSFDMR;TG297;46.33.223.77;42002;000;

# Cached IP from 2025-08-26 19:46 UTC
13827;ME-YSFMontenegro;TG29792;46.33.223.77;43007;000;

13597;DE-DE-Berlin;YSF Reflector;88.218.227.37;42000;000;

00134;PL-XLX134;XLX134;51.83.134.240;42000;000;

# Cached IP from 2025-07-29 18:16 UTC
00123;DE-XLX123;Transcoding;217.235.79.139;42000;000;

13458;US-FACSchool-ARC;FAC Reflector;70.241.48.49;42000;000;

00122;GR-XLX122;XLX122 YSF Ref;194.37.80.40;42000;000;

# Cached IP from 2025-07-19 06:46 UTC
13440;ES-URF051;URF051;84.127.123.185;42001;000;

13390;ES-URF992;URF992;116.203.122.135;42000;000;

# Cached IP from 2025-04-24 12:33 UTC
13322;GB-xlx201b;xlx201b d-star;157.245.45.67;42001;000;

13170;XX-DVRef;DVRef Test Ref;150.136.101.227;42000;000;

# Cached IP from 2025-08-03 01:46 UTC
00121;IT-XLX121;Reflector Mult;95.249.77.25;42000;000;

# Cached IP from 2025-05-13 14:13 UTC
00120;US-YSF00120;XLX120;15.204.232.22;42000;000;

# Cached IP from 2025-05-26 01:46 UTC
13149;US-UTAHDRN-TEST;Utah Test;166.70.96.67;42000;000;

# Cached IP from 2025-06-07 03:46 UTC
00105;BR-REF105;REF105;45.143.7.43;42000;000;

13124;CA-YSFCHARC;SW Quebec, CA;44.31.14.21;42000;000;

# Cached IP from 2025-07-24 12:46 UTC
13120;US-W2MMD_Sknkwks;W2MMD GCARC;96.235.129.209;42000;000;

# Cached IP from 2025-04-24 12:33 UTC
13111;DE-SAXONIA;YSF Sachsen;85.214.61.75;42001;000;

00100;MK-MACEDONIA;Macedonia-C4FM;84.74.144.7;42001;000;

# Cached IP from 2025-04-24 12:33 UTC
13100;DE-Lausitz;LausitzLink;94.130.143.160;42000;000;

# Cached IP from 2025-04-28 00:43 UTC
00007;XX-EUROPELINK;Europelink;161.97.73.43;42000;000;

00099;PL-XLX003;XLX003;93.179.193.199;42000;000;

13070;US-NWMO;NW Missouri;66.255.211.202;42000;000;

00097;US-URF097;URF097;140.82.24.7;42000;000;

13042;US-TEXAS-MRN;US Texas MRN;71.11.197.90;42000;000;

13041;US-TEXAS-MRN-X;US Texas MRN;45.33.22.225;42000;000;

# Cached IP from 2025-05-15 01:13 UTC
12920;PR-KP3AV-Systems;Puerto Rico;24.55.110.201;43000;000;

# Cached IP from 2025-04-25 03:03 UTC
00096;KR-096ysf-Busan;Busan KOREA;121.145.136.53;42000;000;

00095;US-XLX097;NEDR;207.246.112.46;42000;000;

12852;US-XLX852;XLX852;96.44.137.162;42000;000;

# Cached IP from 2025-06-05 22:16 UTC
00091;GB-FreeDMR-91;FDMR TG 91;44.31.166.5;42091;000;

12829;US-HOODSTOCK;;108.192.158.177;42000;000;

# Cached IP from 2025-05-23 13:46 UTC
12693;US-XLX693;Souche QQ YSF;82.165.1.21;42000;000;

# Cached IP from 2025-05-20 06:13 UTC
12479;US-Kansas-City;WX-MOKAN-21899;99.169.52.241;42000;000;

12345;US-K9EQ;K9EQ-Test;167.99.150.253;42005;000;

# Cached IP from 2025-06-12 19:16 UTC
00090;US-XLX089;NEDR;155.138.240.150;42000;000;

# Cached IP from 2025-07-20 03:16 UTC
00087;US-US-IRLP_0087;Linked to 0087;144.202.50.203;42001;000;

12343;GT-XLX502;XLX502;200.94.250.24;42000;000;

# Cached IP from 2025-05-11 23:13 UTC
00082;US-XLX082;XLX082;44.20.29.130;42000;000;

12178;GB-XLX178;XLX178;80.229.161.124;42000;000;

12121;GB-SDAWARG;sdawarg.org;90.204.143.115;42002;000;

# Cached IP from 2025-06-17 15:46 UTC
12096;CW-ToyTronNet;Sunny Curacao;186.159.96.100;42000;000;

12018;US-Val-County-ID;Val County ID;38.18.68.3;42300;000;

# Cached IP from 2025-05-31 18:46 UTC
00079;CZ-IT-HKS;Interconnectio;89.102.24.106;42000;000;

00077;XX-0077-NETWORK;USA - MEX;141.11.210.34;42000;000;

12014;BE-YSF-Begium;YSF Belgium;173.212.223.187;42002;000;

# Cached IP from 2025-04-24 12:33 UTC
00071;BR-SP-VW;SP-VW;186.193.221.178;42002;000;

# Cached IP from 2025-04-24 12:33 UTC
11710;US-11710-ERLI-NY;Emerg Radio LI;96.224.250.24;42000;000;

# Cached IP from 2025-04-25 15:33 UTC
11704;GB-SW-LANCS;GB3OA SWLANCS;82.165.4.176;42000;000;

11689;US-AMSAT;Satellite Ops;149.28.241.59;42000;000;

# Cached IP from 2025-04-24 12:33 UTC
00070;BR-SAO-PAULO;SAO-PAULO;186.193.221.178;42001;000;

11198;US-US-Alabama;Alabama;96.47.95.121;42012;000;

# Cached IP from 2025-04-24 12:33 UTC
00069;GB-CQ-NW;cqnorthwest;51.11.37.229;42000;000;

# Cached IP from 2025-07-14 18:16 UTC
11193;RU-RADIOCULT;RADIOCULT.SU;93.182.23.54;42000;000;

# Cached IP from 2025-05-16 09:13 UTC
00061;GB-OARC-Bridge;OARC Bridge;192.248.160.49;42000;000;

# Cached IP from 2025-04-24 23:03 UTC
11184;US-NA0D-AR;NA0D Reflector;67.224.127.36;42003;000;

# Cached IP from 2025-08-26 23:16 UTC
17771;US-LiveFreeOrDie;NewHampshire;70.16.65.11;42750;000;

11113;PL-LESZNO;LESZNO;178.183.82.24;42000;000;

17535;ES-EA-TG21468;CANARIAS;80.211.78.17;42003;000;

11112;PL-POLSKA;;185.254.7.66;42026;000;

